Date,P(High),P(Med),P(Low)
2015-05-08,0.333333,0.333333,0.333333
2015-05-15,0.333333,0.333504,0.333333
2015-05-22,0.333333,0.333504,0.333333
2015-06-01,0.333333,0.333333,0.333333
2015-06-08,0.333333,0.333519,0.333333
2015-06-15,0.333333,0.333519,0.333333
2015-06-22,0.333333,0.333333,0.333333
2015-06-29,0.333333,0.333525,0.333333
2015-07-07,0.333333,0.333525,0.333333
2015-07-14,0.333333,0.333333,0.333333
2015-07-21,0.333333,0.333465,0.333333
2015-07-28,0.333333,0.333465,0.333333
2015-08-04,0.333333,0.333333,0.333333
2015-08-11,0.333333,0.333394,0.333333
2015-08-18,0.333333,0.333394,0.333333
2015-08-25,0.333333,0.333333,0.333333
2015-09-01,0.333333,0.333313,0.333333
2015-09-09,0.333333,0.333313,0.333333
2015-09-16,0.333333,0.333333,0.333333
2015-09-23,0.333333,0.333218,0.333333
2015-09-30,0.333333,0.333218,0.333333
2015-10-07,0.333333,0.333333,0.333333
2015-10-14,0.333333,0.333192,0.333333
2015-10-21,0.333333,0.333192,0.333333
2015-10-28,0.333333,0.333333,0.333333
2015-11-04,0.333333,0.333160,0.333333
2015-11-11,0.333333,0.333160,0.333333
2015-11-18,0.333333,0.333333,0.333333
2015-11-25,0.333333,0.333135,0.333333
2015-12-03,0.333333,0.333135,0.333333
2015-12-10,0.333333,0.333333,0.333333
2015-12-17,0.333333,0.333177,0.333333
2015-12-24,0.333333,0.333177,0.333333
2016-01-04,0.333333,0.333333,0.333333
2016-01-11,0.333333,0.333214,0.333333
2016-01-19,0.333333,0.333214,0.333333
2016-01-26,0.333333,0.333333,0.333333
2016-02-02,0.333333,0.333244,0.333333
2016-02-09,0.333333,0.333244,0.333333
2016-02-17,0.333333,0.333333,0.333333
2016-02-24,0.333333,0.333287,0.333333
2016-03-02,0.333333,0.333287,0.333333
2016-03-09,0.333333,0.333333,0.333333
2016-03-16,0.333333,0.333304,0.333333
2016-03-23,0.333333,0.333304,0.333333
2016-03-31,0.333333,0.333333,0.333333
2016-04-07,0.333333,0.333320,0.333333
2016-04-14,0.333333,0.333320,0.333333
2016-04-21,0.333333,0.333333,0.333333
2016-04-28,0.333333,0.333332,0.333333
2016-05-05,0.333333,0.333332,0.333333
2016-05-12,0.333333,0.333333,0.333333
2016-05-19,0.333333,0.333333,0.333333
2016-05-26,0.333333,0.333333,0.333333
2016-06-03,0.333333,0.333333,0.333333
2016-06-10,0.333333,0.333388,0.333333
2016-06-17,0.333333,0.333388,0.333333
2016-06-24,0.333333,0.333333,0.333333
2016-07-01,0.333333,0.335513,0.333333
2016-07-11,0.333333,0.335513,0.333333
2016-07-18,0.333333,0.333333,0.333333
2016-07-25,0.333333,0.341932,0.333333
2016-08-01,0.333333,0.341932,0.333333
2016-08-08,0.333333,0.333333,0.333333
2016-08-15,0.333333,0.351702,0.333333
2016-08-22,0.333333,0.351702,0.333333
2016-08-29,0.333333,0.333333,0.333333
2016-09-06,0.333333,0.366728,0.333333
2016-09-13,0.333333,0.366728,0.333333
2016-09-20,0.333333,0.333333,0.333333
2016-09-27,0.333333,0.377515,0.333333
2016-10-04,0.333333,0.377515,0.333333
2016-10-12,0.333333,0.333333,0.333333
2016-10-19,0.333333,0.380572,0.333333
2016-10-26,0.333333,0.380572,0.333333
2016-11-02,0.333333,0.333333,0.333333
2016-11-09,0.333333,0.380850,0.333333
2016-11-17,0.333333,0.380850,0.333333
2016-11-25,0.333333,0.333333,0.333333
2016-12-02,0.333333,0.378766,0.333333
2016-12-09,0.333333,0.378766,0.333333
2016-12-16,0.333333,0.333333,0.333333
2016-12-23,0.333333,0.372352,0.333333
2017-01-03,0.333333,0.372352,0.333333
2017-01-10,0.333333,0.333333,0.333333
2017-01-18,0.333333,0.362583,0.333333
2017-01-25,0.333333,0.362583,0.333333
2017-02-01,0.333333,0.333333,0.333333
2017-02-08,0.333333,0.347558,0.333333
2017-02-15,0.333333,0.347558,0.333333
2017-02-23,0.333333,0.333333,0.333333
2017-03-02,0.333333,0.336771,0.333333
2017-03-09,0.333333,0.336771,0.333333
2017-03-16,0.333333,0.333333,0.333333
2017-03-23,0.333333,0.333714,0.333334
2017-03-30,0.333333,0.333714,0.333334
2017-04-06,0.333333,0.333333,0.333333
